40757,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 10-11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DISTRICT,SCHOOL,EL,1,2,3,4,5,6,7,8,9,10,11,12,EC,TOTAL
431-Monroe County                                                                                   ,150-GAMALIEL ELEMENTARY                                                                             ,60,42,51,39,35,58,0,0,0,0,0,0,0,0,285
431-Monroe County                                                                                   ,160-Monroe Co Middle                                                                                ,0,0,0,0,0,0,149,146,152,0,0,0,0,0,447
431-Monroe County                                                                                   ,212-Joe Harrison Carter                                                                             ,45,32,38,41,33,45,0,0,0,0,0,0,0,0,234
431-Monroe County                                                                                   ,440-Tompkinsville Elem                                                                              ,69,64,55,59,64,76,0,0,0,0,0,0,0,0,387
431-Monroe County                                                                                   ,450-Monroe Co High                                                                                  ,0,0,0,0,0,0,0,0,0,182,136,152,170,2,642
TOTALS for Monroe County                                                                            ,                                                                                                    ,174,138,144,139,132,179,149,146,152,182,136,152,170,2,1995
435-Montgomery County                                                                               ,010-Camargo Elementary School                                                                       ,122,117,115,115,90,112,0,0,0,0,0,0,0,0,671
435-Montgomery County                                                                               ,012-Hope Hill Childrens Home                                                                        ,0,0,0,0,0,0,0,4,1,13,11,10,6,0,45
435-Montgomery County                                                                               ,013-Hillcrest Hall Treatment Center                                                                 ,0,0,0,0,0,0,0,0,0,5,6,4,5,0,20
435-Montgomery County                                                                               ,014-Gateway Children's Services                                                                     ,0,0,0,0,0,0,1,2,2,5,5,9,3,0,27
435-Montgomery County                                                                               ,030-Mapleton Elementary School                                                                      ,124,145,143,136,138,133,0,0,0,0,0,0,0,0,819
435-Montgomery County                                                                               ,040-Montgomery County High School                                                                   ,0,0,0,0,0,0,0,0,0,355,322,305,321,1,1304
435-Montgomery County                                                                               ,050-Mount Sterling Elementary School                                                                ,124,129,108,119,133,124,0,0,0,0,0,0,0,0,737
435-Montgomery County                                                                               ,070-McNabb Middle School                                                                            ,0,0,0,0,0,0,392,377,341,0,0,0,0,0,1110
TOTALS for Montgomery County                                                                        ,                                                                                                    ,370,391,366,370,361,369,393,383,344,378,344,328,335,1,4733
436-Monticello Independent                                                                          ,010-Monticello High School                                                                          ,0,0,0,0,0,0,0,0,0,80,62,68,63,0,273
436-Monticello Independent                                                                          ,015-Monticello Middle School                                                                        ,0,0,0,0,0,0,66,69,66,0,0,0,0,0,201
436-Monticello Independent                                                                          ,020-Monticello Elementary School                                                                    ,83,69,67,67,59,66,0,0,0,0,0,0,0,0,411
TOTALS for Monticello Independent                                                                   ,                                                                                                    ,83,69,67,67,59,66,66,69,66,80,62,68,63,0,885
441-Morgan County                                                                                   ,015-Morgan Central Elementary School                                                                ,63,56,46,63,51,64,0,0,0,0,0,0,0,0,343
441-Morgan County                                                                                   ,018-West Liberty Elementary School                                                                  ,52,46,40,44,52,42,0,0,0,0,0,0,0,0,276
441-Morgan County                                                                                   ,050-East Valley Elementary School                                                                   ,35,28,46,36,30,19,0,0,0,0,0,0,0,0,194
