40060,,,,,,,,,,,,,,,,
KENTUCKY DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,
SUPERINTENDENT'S ANNUAL ATTENDANCE REPORT,,,,,,,,,,,,,,,,
"ENROLLMENT BY DISTRICT, SCHOOL AND GRADE",,,,,,,,,,,,,,,,
For School Year 08-09,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,
502-Raceland-Worthington Independent                                                                ,160-Ashland Day Treatment Center                                                                    ,0,0,0,0,0,0,0,1,2,5,7,7,2,0,24
TOTALS for Raceland-Worthington Independent                                                         ,                                                                                                    ,96,61,76,77,73,63,97,75,72,101,102,103,87,0,1083
505-Robertson County                                                                                ,010-Deming Elementary School                                                                        ,32,34,20,31,26,29,25,0,0,0,0,0,0,0,197
505-Robertson County                                                                                ,020-Deming High School                                                                              ,0,0,0,0,0,0,0,25,28,42,46,31,34,0,206
TOTALS for Robertson County                                                                         ,                                                                                                    ,32,34,20,31,26,29,25,25,28,42,46,31,34,0,403
511-Rockcastle County                                                                               ,020-Brodhead Elementary School                                                                      ,68,84,67,69,54,60,0,0,0,0,0,0,0,0,402
511-Rockcastle County                                                                               ,022-Rockcastle Academy for Academic Achievement                                                     ,0,0,0,0,0,0,0,0,0,1,3,2,15,0,21
511-Rockcastle County                                                                               ,100-Rockcastle County Middle School                                                                 ,0,0,0,0,0,0,211,213,243,0,0,0,0,0,667
511-Rockcastle County                                                                               ,170-Mount Vernon Elementary School                                                                  ,98,129,108,130,113,92,0,0,0,0,0,0,0,0,670
511-Rockcastle County                                                                               ,310-Rockcastle County High School                                                                   ,0,0,0,0,0,0,0,0,0,220,239,220,214,0,893
511-Rockcastle County                                                                               ,320-Roundstone Elementary School                                                                    ,36,65,55,44,53,51,0,0,0,0,0,0,0,0,304
TOTALS for Rockcastle County                                                                        ,                                                                                                    ,202,278,230,243,220,203,211,213,243,221,242,222,229,0,2957
515-Rowan County                                                                                    ,040-Clearfield Elementary School                                                                    ,56,56,46,61,27,42,0,0,0,0,0,0,0,0,288
