School Year,School Code,District Number,School Number,District Name,School Name,Gender,Ethnicity,Type,Graduates with Diploma in 4 years,Graduates with Diploma but IEP allowed 4+ years,Graduates with Diploma in 4+ years,Certificates of Completion or GED,Total Graduates or Completers,AFGR Graduates,Grade 9 Membership,Grade 10 Membership,AFGR Average Membership,AFGR Grad Rate,District Factors Impacting AFGR**
2008 ,371 ,371 ,  ,Magoffin County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Total ,A1 ,125 ,0 ,3 ,0 ,128 ,125 ,153 ,160 ,156.5 ,79.9 ,  
2011 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Total ,A1 ,139 ,0 ,11 ,1 ,151 ,139 ,191 ,175 ,183.0 ,76.0 ,  
2010 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Total ,A1 ,134 ,0 ,11 ,3 ,148 ,134 ,225 ,189 ,207.0 ,64.7 ,  
2009 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Total ,A1 ,163 ,0 ,4 ,1 ,168 ,163 ,236 ,202 ,219.0 ,74.4 ,  
2008 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Total ,A1 ,138 ,1 ,6 ,0 ,145 ,139 ,231 ,185 ,208.0 ,66.8 ,  
2012 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Female ,Total ,A1 ,56 ,0 ,0 ,0 ,56 ,56 ,71 ,72 ,71.5 ,78.3 ,  
2011 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Female ,Total ,A1 ,72 ,0 ,2 ,0 ,74 ,72 ,90 ,87 ,88.5 ,81.4 ,  
2010 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Female ,Total ,A1 ,60 ,0 ,4 ,0 ,64 ,60 ,84 ,76 ,80.0 ,75.0 ,  
2009 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Female ,Total ,A1 ,81 ,0 ,1 ,0 ,82 ,81 ,107 ,98 ,102.5 ,79.0 ,  
2008 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Female ,Total ,A1 ,71 ,0 ,3 ,0 ,74 ,71 ,96 ,87 ,91.5 ,77.6 ,  
2012 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Male ,Total ,A1 ,69 ,0 ,3 ,0 ,72 ,69 ,82 ,88 ,85.0 ,81.2 ,  
2011 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Male ,Total ,A1 ,67 ,0 ,9 ,1 ,77 ,67 ,101 ,88 ,94.5 ,70.9 ,  
2010 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Male ,Total ,A1 ,74 ,0 ,7 ,3 ,84 ,74 ,141 ,113 ,127.0 ,58.3 ,  
2009 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Male ,Total ,A1 ,82 ,0 ,3 ,1 ,86 ,82 ,129 ,104 ,116.5 ,70.4 ,  
2008 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Male ,Total ,A1 ,67 ,1 ,3 ,0 ,71 ,68 ,135 ,98 ,116.5 ,58.4 ,  
2012 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,White ,A1 ,125 ,0 ,3 ,0 ,128 ,125 ,153 ,160 ,156.5 ,79.9 ,  
2011 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,White ,A1 ,138 ,0 ,11 ,1 ,150 ,138 ,191 ,175 ,183.0 ,75.4 ,  
2010 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,White ,A1 ,134 ,0 ,11 ,3 ,148 ,134 ,225 ,189 ,207.0 ,64.7 ,  
2009 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,White ,A1 ,163 ,0 ,4 ,1 ,168 ,163 ,236 ,202 ,219.0 ,74.4 ,  
2008 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,White ,A1 ,138 ,1 ,6 ,0 ,145 ,139 ,231 ,185 ,208.0 ,66.8 ,  
2012 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,371370 ,371 ,370 ,Magoffin County ,Magoffin County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Total ,A1 ,228 ,0 ,1 ,2 ,231 ,228 ,296 ,260 ,278.0 ,82.0 ,  
2011 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Total ,A1 ,210 ,0 ,2 ,1 ,213 ,210 ,281 ,253 ,267.0 ,78.7 ,  
2010 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Total ,A1 ,212 ,0 ,3 ,7 ,222 ,212 ,281 ,246 ,263.5 ,80.5 ,  
2009 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Total ,A1 ,197 ,1 ,2 ,1 ,201 ,198 ,251 ,233 ,242.0 ,81.8 ,  
2008 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Total ,A1 ,195 ,0 ,1 ,3 ,199 ,195 ,285 ,244 ,264.5 ,73.7 ,  
2012 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Female ,Total ,A1 ,118 ,0 ,0 ,1 ,119 ,118 ,142 ,126 ,134.0 ,88.1 ,  
2011 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Female ,Total ,A1 ,107 ,0 ,1 ,0 ,108 ,107 ,134 ,124 ,129.0 ,82.9 ,  
2010 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Female ,Total ,A1 ,106 ,0 ,1 ,2 ,109 ,106 ,126 ,117 ,121.5 ,87.2 ,  
2009 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Female ,Total ,A1 ,102 ,1 ,0 ,0 ,103 ,103 ,128 ,116 ,122.0 ,84.4 ,  
2008 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Female ,Total ,A1 ,83 ,0 ,0 ,1 ,84 ,83 ,115 ,99 ,107.0 ,77.6 ,  
2012 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Male ,Total ,A1 ,110 ,0 ,1 ,1 ,112 ,110 ,154 ,134 ,144.0 ,76.4 ,  
2011 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Male ,Total ,A1 ,103 ,0 ,1 ,1 ,105 ,103 ,147 ,129 ,138.0 ,74.6 ,  
2010 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Male ,Total ,A1 ,106 ,0 ,2 ,5 ,113 ,106 ,155 ,129 ,142.0 ,74.7 ,  
2009 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Male ,Total ,A1 ,95 ,0 ,2 ,1 ,98 ,95 ,123 ,117 ,120.0 ,79.2 ,  
2008 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Male ,Total ,A1 ,112 ,0 ,1 ,2 ,115 ,112 ,170 ,145 ,157.5 ,71.1 ,  
2012 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,White ,A1 ,201 ,0 ,1 ,1 ,203 ,201 ,265 ,231 ,248.0 ,81.0 ,  
2011 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,White ,A1 ,198 ,0 ,1 ,0 ,199 ,198 ,247 ,222 ,234.5 ,84.4 ,  
2010 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,White ,A1 ,195 ,0 ,1 ,7 ,203 ,195 ,255 ,225 ,240.0 ,81.3 ,  
2009 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,White ,A1 ,172 ,1 ,2 ,1 ,176 ,173 ,223 ,208 ,215.5 ,80.3 ,  
2008 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,White ,A1 ,172 ,0 ,1 ,3 ,176 ,172 ,256 ,215 ,235.5 ,73.0 ,  
2012 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,19 ,0 ,0 ,1 ,20 ,19 ,23 ,21 ,22.0 ,86.4 ,  
2011 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,15 ,0 ,1 ,0 ,16 ,15 ,21 ,16 ,18.5 ,81.1 ,  
2009 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,22 ,0 ,0 ,0 ,22 ,22 ,24 ,22 ,23.0 ,95.7 ,  
2008 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,17 ,0 ,0 ,0 ,17 ,17 ,26 ,20 ,23.0 ,73.9 ,  
2012 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,375 ,375 ,  ,Marion County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Total ,A1 ,228 ,0 ,1 ,2 ,231 ,228 ,296 ,260 ,278.0 ,82.0 ,  
2011 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Total ,A1 ,210 ,0 ,2 ,1 ,213 ,210 ,281 ,253 ,267.0 ,78.7 ,  
2010 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Total ,A1 ,212 ,0 ,3 ,7 ,222 ,212 ,281 ,246 ,263.5 ,80.5 ,  
2009 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Total ,A1 ,197 ,1 ,2 ,1 ,201 ,198 ,251 ,233 ,242.0 ,81.8 ,  
2008 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Total ,A1 ,195 ,0 ,1 ,3 ,199 ,195 ,285 ,244 ,264.5 ,73.7 ,  
2012 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Female ,Total ,A1 ,118 ,0 ,0 ,1 ,119 ,118 ,142 ,126 ,134.0 ,88.1 ,  
2011 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Female ,Total ,A1 ,107 ,0 ,1 ,0 ,108 ,107 ,134 ,124 ,129.0 ,82.9 ,  
2010 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Female ,Total ,A1 ,106 ,0 ,1 ,2 ,109 ,106 ,126 ,117 ,121.5 ,87.2 ,  
2009 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Female ,Total ,A1 ,102 ,1 ,0 ,0 ,103 ,103 ,128 ,116 ,122.0 ,84.4 ,  
2008 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Female ,Total ,A1 ,83 ,0 ,0 ,1 ,84 ,83 ,115 ,99 ,107.0 ,77.6 ,  
2012 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Male ,Total ,A1 ,110 ,0 ,1 ,1 ,112 ,110 ,154 ,134 ,144.0 ,76.4 ,  
2011 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Male ,Total ,A1 ,103 ,0 ,1 ,1 ,105 ,103 ,147 ,129 ,138.0 ,74.6 ,  
2010 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Male ,Total ,A1 ,106 ,0 ,2 ,5 ,113 ,106 ,155 ,129 ,142.0 ,74.7 ,  
2009 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Male ,Total ,A1 ,95 ,0 ,2 ,1 ,98 ,95 ,123 ,117 ,120.0 ,79.2 ,  
2008 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Male ,Total ,A1 ,112 ,0 ,1 ,2 ,115 ,112 ,170 ,145 ,157.5 ,71.1 ,  
2012 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,White ,A1 ,201 ,0 ,1 ,1 ,203 ,201 ,265 ,231 ,248.0 ,81.0 ,  
2011 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,White ,A1 ,198 ,0 ,1 ,0 ,199 ,198 ,247 ,222 ,234.5 ,84.4 ,  
2010 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,White ,A1 ,195 ,0 ,1 ,7 ,203 ,195 ,255 ,225 ,240.0 ,81.3 ,  
2009 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,White ,A1 ,172 ,1 ,2 ,1 ,176 ,173 ,223 ,208 ,215.5 ,80.3 ,  
2008 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,White ,A1 ,172 ,0 ,1 ,3 ,176 ,172 ,256 ,215 ,235.5 ,73.0 ,  
2012 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Afr. Am. ,A1 ,19 ,0 ,0 ,1 ,20 ,19 ,23 ,21 ,22.0 ,86.4 ,  
2011 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Afr. Am. ,A1 ,15 ,0 ,1 ,0 ,16 ,15 ,21 ,16 ,18.5 ,81.1 ,  
2009 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Afr. Am. ,A1 ,22 ,0 ,0 ,0 ,22 ,22 ,24 ,22 ,23.0 ,95.7 ,  
2008 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Afr. Am. ,A1 ,17 ,0 ,0 ,0 ,17 ,17 ,26 ,20 ,23.0 ,73.9 ,  
2012 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,375515 ,375 ,515 ,Marion County ,Marion County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Total ,A1 ,299 ,1 ,3 ,11 ,314 ,300 ,366 ,385 ,375.5 ,79.9 ,  
2011 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Total ,A1 ,312 ,1 ,16 ,14 ,343 ,313 ,401 ,397 ,399.0 ,78.4 ,  
2010 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Total ,A1 ,303 ,2 ,15 ,10 ,330 ,305 ,381 ,389 ,385.0 ,79.2 ,  
2009 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Total ,A1 ,317 ,0 ,15 ,5 ,337 ,317 ,411 ,406 ,408.5 ,77.6 ,  
2008 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Total ,A1 ,332 ,0 ,9 ,3 ,344 ,332 ,436 ,412 ,424.0 ,78.3 ,  
2012 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Female ,Total ,A1 ,142 ,1 ,2 ,3 ,148 ,143 ,174 ,178 ,176.0 ,81.3 ,  
2011 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Female ,Total ,A1 ,167 ,0 ,5 ,3 ,175 ,167 ,200 ,197 ,198.5 ,84.1 ,  
2010 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Female ,Total ,A1 ,152 ,0 ,6 ,3 ,161 ,152 ,173 ,183 ,178.0 ,85.4 ,  
2009 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Female ,Total ,A1 ,149 ,0 ,7 ,2 ,158 ,149 ,188 ,191 ,189.5 ,78.6 ,  
2008 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Female ,Total ,A1 ,172 ,0 ,5 ,0 ,177 ,172 ,214 ,202 ,208.0 ,82.7 ,  
2012 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Male ,Total ,A1 ,157 ,0 ,1 ,8 ,166 ,157 ,192 ,207 ,199.5 ,78.7 ,  
2011 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Male ,Total ,A1 ,145 ,1 ,11 ,11 ,168 ,146 ,201 ,200 ,200.5 ,72.8 ,  
2010 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Male ,Total ,A1 ,151 ,2 ,9 ,7 ,169 ,153 ,208 ,206 ,207.0 ,73.9 ,  
2009 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Male ,Total ,A1 ,168 ,0 ,8 ,3 ,179 ,168 ,223 ,215 ,219.0 ,76.7 ,  
2008 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Male ,Total ,A1 ,160 ,0 ,4 ,3 ,167 ,160 ,222 ,210 ,216.0 ,74.1 ,  
2012 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,White ,A1 ,294 ,1 ,3 ,11 ,309 ,295 ,364 ,382 ,373.0 ,79.1 ,  
2011 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,White ,A1 ,308 ,1 ,16 ,13 ,338 ,309 ,395 ,392 ,393.5 ,78.5 ,  
2010 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,White ,A1 ,299 ,2 ,15 ,10 ,326 ,301 ,380 ,388 ,384.0 ,78.4 ,  
2009 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,White ,A1 ,313 ,0 ,15 ,5 ,333 ,313 ,407 ,403 ,405.0 ,77.3 ,  
2008 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,White ,A1 ,328 ,0 ,9 ,3 ,340 ,328 ,431 ,406 ,418.5 ,78.4 ,  
2012 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,381 ,381 ,  ,Marshall County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,381088 ,381 ,088 ,Marshall County ,Marshall County High School ,Total ,Total ,A1 ,299 ,1 ,3 ,11 ,314 ,300 ,366 ,385 ,375.5 ,79.9 ,  
2011 ,381088 ,381 ,088 ,Marshall County ,Marshall County High School ,Total ,Total ,A1 ,291 ,1 ,2 ,9 ,303 ,292 ,401 ,397 ,399.0 ,73.2 ,  
2010 ,381088 ,381 ,088 ,Marshall County ,Marshall County High School ,Total ,Total ,A1 ,283 ,0 ,0 ,10 ,293 ,283 ,381 ,388 ,384.5 ,73.6 ,  
2009 ,381088 ,381 ,088 ,Marshall County ,Marshall County High School ,Total ,Total ,A1 ,295 ,0 ,1 ,5 ,301 ,295 ,411 ,406 ,408.5 ,72.2 ,  
2008 ,381088 ,381 ,088 ,Marshall County ,Marshall County High School ,Total ,Total ,A1 ,332 ,0 ,9 ,3 ,344 ,332 ,436 ,412 ,424.0 ,78.3 ,  
2012 ,381088 ,381 ,088 ,Marshall County ,Marshall County High School ,Female ,Total ,A1 ,142 ,1 ,2 ,3 ,148 ,143 ,174 ,178 ,176.0 ,81.3 ,  
2011 ,381088 ,381 ,088 ,Marshall County ,Marshall County High School ,Female ,Total ,A1 ,154 ,0 ,0 ,2 ,156 ,154 ,200 ,197 ,198.5 ,77.6 ,  
