School Year,School Code,District Number,School Number,District Name,School Name,Gender,Ethnicity,Type,Graduates with Diploma in 4 years,Graduates with Diploma but IEP allowed 4+ years,Graduates with Diploma in 4+ years,Certificates of Completion or GED,Total Graduates or Completers,AFGR Graduates,Grade 9 Membership,Grade 10 Membership,AFGR Average Membership,AFGR Grad Rate,District Factors Impacting AFGR**
2011 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Afr. Am. ,A1 ,32 ,0 ,0 ,0 ,32 ,32 ,41 ,40 ,40.5 ,79.0 ,  
2010 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Afr. Am. ,A1 ,51 ,0 ,0 ,0 ,51 ,51 ,55 ,58 ,56.5 ,90.3 ,  
2009 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Afr. Am. ,A1 ,52 ,0 ,0 ,3 ,55 ,52 ,47 ,52 ,49.5 ,100.0 ,  
2008 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Afr. Am. ,A1 ,53 ,0 ,0 ,0 ,53 ,53 ,54 ,55 ,54.5 ,97.3 ,  
2012 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Hispanic ,A1 ,18 ,0 ,0 ,0 ,18 ,18 ,21 ,21 ,21.0 ,85.7 ,  
2011 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Hispanic ,A1 ,11 ,0 ,0 ,0 ,11 ,11 ,21 ,18 ,19.5 ,56.4 ,  
2010 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Hispanic ,A1 ,10 ,0 ,0 ,0 ,10 ,10 ,12 ,15 ,13.5 ,74.1 ,  
2009 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Hispanic ,A1 ,11 ,0 ,0 ,0 ,11 ,11 ,14 ,12 ,13.0 ,84.6 ,  
2008 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Hispanic ,A1 ,12 ,0 ,0 ,0 ,12 ,12 ,12 ,16 ,14.0 ,85.7 ,  
2012 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,571210 ,571 ,210 ,Warren County ,Warren Central High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Total ,A1 ,205 ,0 ,0 ,2 ,207 ,205 ,277 ,253 ,265.0 ,77.4 ,  
2011 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Total ,A1 ,190 ,0 ,1 ,2 ,193 ,190 ,273 ,241 ,257.0 ,73.9 ,  
2010 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Total ,A1 ,180 ,0 ,4 ,2 ,186 ,180 ,268 ,216 ,242.0 ,74.4 ,  
2009 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Total ,A1 ,176 ,0 ,1 ,4 ,181 ,176 ,244 ,210 ,227.0 ,77.5 ,  
2008 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Total ,Total ,A1 ,194 ,1 ,1 ,2 ,198 ,195 ,247 ,204 ,225.5 ,86.5 ,  
2012 ,571220 ,571 ,220 ,Warren County ,Warren East High School ,Female ,Total ,A1 ,98 ,0 ,0 ,0 ,98 ,98 ,135 ,120 ,127.5 ,76.9 ,  
